	PK:clearance	PK:half-life	PK:protein-binding
Cetuximab	Female patients had 25% lower intrinsic clearance than male patients.	The mean half-life for Cetuximab is 114 hours (range 75-188 hours).	
Cevipabulin			
Chlorambucil		1.5 hours	99%
Chloroquine		1-2 months	~55% of the drug in the plasma is bound to nondiffusible plasma constituents
Chlorsulfaquinoxaline			
Ciclopirox		1.7 hours for 1% topical solution.	Protein binding is 94-97% following topical administration.
Cilengitide			
Cintredekin Besudotox			
Cisplatin	 * 15-16 L/h/m^2 [total body clearance, 7-hour infusion of 100 mg/m^2] &#13; * 62 mL/min/m^2 [renal clearance, 2-hour infusion of 100 mg/m^2] &#13; * 50 mL/min/m^2 [renal clearance, 6- to 7-hour infusion of 100 mg/m^2] &#13; The renal clearance of free (ultrafilterable) platinum also exceeds the glomerular filtration rate indicating that cisplatin or other platinum-containing molecules are actively secreted by the kidneys. The renal clearance of free platinum is nonlinear and variable and is dependent on dose, urine flow rate, and individual variability in the extent of active secretion and possible tubular reabsorption. 	Cisplatin decays monoexponentially with a half life of 20 to 30 minutes following administrations of 50 or 100 mg/m^2.  Cisplatin has a plasma half-life of 30 minutes. The complexes between albumin and the platinum from cisplatin do not dissociate to a significant extent and are slowly eliminated with a minimum half-life of five days or more.	Cisplatin does not undergo instantaneous and reversible binding to plasma protein that is characteristic of normal drug-protein binding. However, the platinum itself is capable of binding to plasma proteins, including albumin, transferrin, and gamma globulin. Three hours after a bolus injection and two hours after the end of a three-hour infusion, 90% of the plasma platinum is protein bound. 
Cixutumumab		148 h (3 mg/kg dose level) 209 h (6mg/kg dose level)	
Cladribine	* 978 +/- 422 mL/h/kg	5.4 hours	20%
Clofarabine	* 28.8 L/h/m2 [Pediatric patients (2 - 19 years old) with relapsed or refractory acute lymphoblastic leukemia (ALL) or acute myelogenous leukemia (AML) receiving 52 mg/m2 dose]	The terminal half-life is estimated to be 5.2 hours.	47% bound to plasma proteins, predominantly to albumin.
Cobimetinib	13.9L/h	Average half life was 44 hours. 	95% bound to human plasma protein.
Coltuximab ravtansine			
Conatumumab			
Copanlisib	The geometric mean clearance is 17.9 (range: 7.3 to 51.4; SD: 8.5) L/hr [FDA Label]. 	The geometric mean terminal elimination half-life of copanlisib is 39.1 (range: 14.6 to 82.4; SD: 15.0) hours [FDA Label]. 	The *in vitro* human plasma protein binding of copanlisib is 84.2%, with albumin being the main binding protein [FDA Label]. 
Corticorelin			
Cositecan			
Crizotinib	The mean apparent clearance (CL/F) of crizotinib was lower at steady state (60 L/hr) after 250 mg twice daily than that after a single 250 mg oral dose (100 L/hr), which was likely due to autoinhibition of CYP3A by crizotinib after multiple dosing.	Plasma terminal half-life, patients = 42 hours 	Crizotinib is 91% bound to plasma protein. This is not affected by drug concentration. 
Curcumin			
Cyanocobalamin		Approximately 6 days (400 days in the liver).	Very high (to specific plasma proteins called transcobalamins); binding of hydroxocobalamin is slightly higher than cyanocobalamin.
Cyclopentolate			
Cyclophosphamide	Total body clearance = 63 ± 7.6 L/kg. 	3-12 hours	20% of cyclophosphamide is protein bound with no dose dependent changes. Some metabolites are protein bound to an extent greater than 60%. 
Cytarabine		10 minutes	13%
Cytidine 3'-monophosphate			
DOTMP HO-166			
DTS-201			
Dabrafenib	The apparent clearance of dabrafenib is 17.0 L/h after single dosing and 34.4 L/h after 2 weeks of twice daily dosing.	Dabrafenib = 8 hours; &#13;Hydroxy-dabrafenib = 10 hours;&#13;Carboxy-dabrafenib = 21-22 hours;&#13;Desmethyl-dabrafenib = 21- 22 hours. 	99.7% bound to human plasma protein. 
Dacarbazine		5 hours	Less than 5%
Daclizumab		11-38 days	
Dacomitinib			
Dactinomycin		36 hours	5%
Dactolisib			
Daniquidone			
Danusertib			
Daratumumab	171.4 mL/day. Clearance decreased with increasing dose and repeated dosing, indicating target-mediated pharmacokinetics.	Approximately 18 days. 	
Dasatinib		The overall mean terminal half-life of dasatinib is 3-5 hours.	96%
Daunorubicin		18.5 hours	97% binding-albumin
Decitabine	* 125 L/h/m2 [Patients receiving 15 mg/m2 3-hr infusion every 8 hours for 3 days]&#13;* 210 L/h/m2 [20 mg/m2 1-hr infusion daily for 5 days]	The terminal phase elimination half-life is 0.51 &plusmn; 0.31 hours.	Plasma protein binding of decitabine is negligible (<1%). 
Defactinib			
Demcizumab			
Denibulin			
Denileukin diftitox	* 0.6 - 2.0 mL/min/kg [Lymphoma]	70-80 min	
Deoxyspergualin			
Depatuxizumab mafodotin			
Dichloroacetic Acid			
Diethylnorspermine			
Diethylstilbestrol			
Dinaciclib			
Docetaxel	* 21 L/h/m2 [Total body clearance, cancer patients after IV administration of 20–115 mg/m2]	Dose-dependent. Doses of 70 mg per square meter of body surface area (mg/m 2 ) or higher produce a triphasic elimination profile. With lower doses, assay limitations precluded detection of the terminal elimination phase. The half-life of the alpha, beta, and gamma phase are 4 minutes, 36 minutes, and 11.1 hours, respectively. 	In vitro studies show that 94% protein bound, mainly to a1-acid glycoprotein, albumin, and lipoproteins. When measured in cancer patients, docetaxel is 97% bound to plasma protein. Dexamethasone does not affect the protein binding of docetaxel.
Dolastatin 10			
Dovitinib			
Doxifluridine			
Doxorubicin	* 324-809 mL/min/m2 [by metabolism and biliary excretion] &#13;* 1088 mL/min/m2 [Men]&#13;* 433 mL/min/m2 [Women]&#13;* 1540 mL/min/m2 [children greater than 2 years of age receiving administration of 10 to 75 mg/m2 doses]&#13;* 813 mL/min/m2 [infants younger than 2 years of age receiving administration of 10 to 75 mg/m2 doses]	Terminal half life = 20 - 48 hours. 	Doxorubicin and its major metabolite, doxorubicinol, is 74-76% bound to plasma protein. The extent to binding is independent of plasma concentration up to 1.1 mcg/mL. Doxorubicin does not cross the blood brain barrier. 
Durvalumab	Mean steady state clearance is approximately 8.24 mL/h (37.3% coefficient of variation). 	Mean elimination half-life is approximately 12 days with 23.2% coefficient of variation.	
E-7820			
E7107			
Edotecarin		20 to 25 hours	
Efatutazone			
Eflornithine		8 hours	
Elacridar			
Elacytarabine			
Elotuzumab	The clearance of elotuzumab decreased from a geometric mean (CV%) of 17.5 (21.2%) to 5.8 (31%) mL/day/kg with an increase in dose from 0.5 (i.e., 0.05 times the recommended dosage) to 20 mg/kg (i.e., 2 times the recommended dosage). Based on a population PK model, when elotuzumab is given in combination with lenalidomide and dexamethasone, approximately 97% of the maximum steady-state concentration is predicted to be eliminated with a geometric mean (CV%) of 82.4 (48%) days. 		
Emibetuzumab			
Enasidenib	Enasidenib displays a mean total body clearance (CL/F) of 0.74 L/hour [FDA Label]. 	Enasidenib has a terminal half-life of 137 hours [FDA Label].	In vitro, human plasma protein binding of enasidenib is 98.5% and 96.6% for its metabolite AGI-16903. Both the parent drug and its main metabolite are not reported to be substrates of MRP2, OAT1, OAT3, OATP1B1, OATP1B3, and OCT2. AGI-16903 is a substrate for both P-glycoprotein and BCRP [FDA Label]. 
Endostar			
Eniluracil			
Ensituximab			
Entinostat			
Enzalutamide	Apparent clearance (CL/F), single oral dose = 0.56 L/h (range of 0.33 - 1.02 L/h) 	The mean terminal half-life (t1/2) for enzalutamide in patients after a single oral dose is 5.8 days (range 2.8 to 10.2 days). Following a single 160 mg oral dose of enzalutamide in healthy volunteers, the mean terminal t1/2 for N-desmethyl enzalutamide is approximately 7.8 to 8.6 days.	Enzalutamide is 97% to 98% bound to plasma proteins, primarily albumin. N-desmethyl enzalutamide is 95% bound to plasma proteins. 
Enzastaurin			
Epirubicin	* 65 +/- 8 L/hour [Patients1 with Solid Tumors Receiving Intravenous Epirubicin 60 mg/m2]&#13;* 83 +/- 14 L/hour [Patients1 with Solid Tumors Receiving Intravenous Epirubicin 75 mg/m2]&#13;* 65 +/- 13 L/hour [Patients1 with Solid Tumors Receiving Intravenous Epirubicin 120 mg/m2]&#13;* 69 +/- 13 L/hour [Patients1 with Solid Tumors Receiving Intravenous Epirubicin 150 mg/m2]	Half-lives for the alpha, beta, and gamma phases of about 3 minutes, 2.5 hours and 33 hours, respectively	77%
Epofolate			
Epratuzumab			
Erdafitinib			
Eribulin	1.16 L/hr/m2 to 2.42 L/hr/m2 (dose range of 0.25 mg/m2 to 4.0 mg/m2). [FDA]	about 40 hours	49 to 65%. 
Erlotinib	Smokers have a 24% higher rate of erlotinib clearance. 	Median half-life of 36.2 hours.	93% protein bound to albumin and alpha-1 acid glycoprotein (AAG)
Estramustine		20 hours	
Etalocib			
Etanidazole			
Etaracizumab			
Etodolac	* Oral cl=49.1 mL/h/kg [Normal healthy adults]&#13;* Oral cl=49.4 mL/h/kg [Healthy males (18-65 years)]&#13;* Oral cl=35.7 mL/h/kg [Healthy females (27-65 years)]&#13;* Oral cl=45.7 mL/h/kg [Eldery (>65 years)]&#13;* Oral cl=58.3 mL/h/kg [Renal impairement (46-73 years)]&#13;* Oral cl=42.0 mL/h/kg [Hepatic impairement (34-60 years)]	Terminal t<sub>1/2</sub>, 7.3 &plusmn; 4.0 hours. Distribution t<sub>1/2</sub>, 0.71 &plusmn; 0.50 hours	> 99% bound, primarily to albumin
Etoposide	* Total body clearance = 33 - 48 mL/min [IV administration, adults]&#13;* Mean renal clearance = 7 - 10 mL/min/m^2 	4-11 hours	97% protein bound. 
Everolimus	Following a 3 mg radiolabeled dose of everolimus, 80% of the radioactivity was recovered from the feces, while 5% was excreted in the urine. 	~30 hours.	~ 74% in both healthy patients and those with moderate hepatic impairment.  
Evofosfamide			
Exatecan			
Exemestane		24 hours	90% (mainly α1-acid glycoprotein and albumin)
Exisulind			
Falnidamol			
Famitinib			
Farletuzumab			
Fenretinide			
Figitumumab			
Filanesib			
Floxuridine			
Fludarabine	* 117-145 mL/min [patients with B-cell CLL receiving IV administration of a single dose of 40 mg/m2]	20 hours	19-29%
Fluorouracil		10-20 minutes	8-12%
Foretinib			
Forodesine			
Fostamatinib			
Fotemustine			
Fresolimumab			
Fruquintinib			
GDC-0917			
GPX-150			
GSK-923295			
GTI 2040			
Galeterone			
Galiximab		13 to 24 days	
Galunisertib			
Gandotinib			
Ganitumab			
Gefitinib	* 595 mL/min [IV administration] 	48 hours [IV administration] 	90% primarily to serum albumin and alpha 1-acid glycoproteins (independent of drug concentrations).
Gemcitabine	* 92.2 L/hr/m2 [Men 29 yrs]&#13;* 75.7 L/hr/m2 [Men 45 yrs]&#13;* 55.1 L/hr/m2 [Men 65 yrs]&#13;* 40.7 L/hr/m2 [Men 79 yrs]&#13;* 69.4 L/hr/m2 [Women 29 yrs]&#13;* 57 L/hr/m2 [Women 45 yrs]&#13;* 41.5 L/hr/m2 [Women 65 yrs]&#13;* 30.7 L/hr/m2 [Women 79 yrs]	Gemcitabine half-life for short infusions ranged from 42 to 94 minutes, and the value for long infusions varied from 245 to 638 minutes, depending on age and gender, reflecting a greatly increased volume of distribution with longer infusions.	Plasma protein binding is negligible (<10%)
Gemcitabine elaidate			
Gemtuzumab ozogamicin	The mean clearance rate was approximately 0.12±0.15 L/h/m^2 in pediatric patients receiving a dose level of 9mg/m^2 [A20377].	In pediatric patients receiving a dose level of 9mg/m^2, the half life was approximately 64±44 h after the first dose [A20377]. 	
Gilteritinib			
Gimatecan			
Glasdegib			
Glufosfamide			
Gossypol			
Grn163l			
Gusperimus			
Halofuginone		23.8 to 72.1 hours	
IMC-1C11			
ING-1			
IPH 1101			
IPH 2101			
Ibritumomab tiuxetan	Approximately 7.2% of injected dose of yttrium Y 90 ibritumomab tiuxetan is excreted in urine within 7 days.	0.8 hours (mammalian reticulocytes, in vitro)	
Ibrutinib	In patients with normal renal function, the clearance rate is in the range of 112-159 ml/min.[A7663]	The elimination half-life of ibrutinib is of approximately 4-6 hours.[T148]	Irreversible plasma protein binding increases gradually over time and reaches 25% of the administered dose 8 hours after initial administration. From the plasma proteins, ibrutinib has been shown to be mainly bound to albumin and to bind to α1 AGP.[A7663] The irreversible protein binding of ibrutinib to plasma proteins can account for 97.3% of the administered dose.[T148]
Icotinib	the clearance was calculated as CL/F = 13.30 ± 4.78 l/h 	5.5 hrs	 Icotinib binds to Sudlow's site I in subdomain IIA of Human Serum Albumin (HSA) molecule, resulting in the formation of icotinib-HSA complexes.
Idarubicin		22 hours	97%
Idelalisib	14.9 L/hr	The terminal elimination half-life is 8.2 hours.	Idelalisib is greater than 84% bound to human plasma proteins with no concentration dependence. 
Idoxuridine			
Idronoxil			
Ifosfamide	 * 2.4±0.33 L/h/m^2 [pediatric patients] 	7-15 hours. The elimination half-life increase appeared to be related to the increase in ifosfamide volume of distribution with age.	Ifosfamide shows little plasma protein binding. 
Imatinib	* 8 L/h [50-year-old CML and GIST patient weighing 50 kg]&#13;* 14 L/h [50-year-old CML and GIST patient weighing 100 kg]	Following oral administration in healthy volunteers, the elimination half-lives of imatinib and its major active metabolite, the N-demethyl derivative (CGP74588) are approximately 18 and 40 hours, respectively. 	95% protein bound, mostly to albumin and alpha-1-acid glycoprotein. 
Imexon			
Imiquimod		20 hours (topical dose), 2 hours (subcutaneous dose)	
Incyclinide			
Indibulin			
Indole-3-carbinol			
Indoximod			
Inotuzumab ozogamicin	The clearance of inotuzumab ozogamicin at steady state is 0.0333 L/h [L938]. 	The elimination half life at the end of Cycle 4 of administration is approximately 12.3 days in a 2-compartment model [L938]. 	*In vitro* studies show the binding of the N-acetyl-gamma-calicheamicin dimethylhydrazide to human plasma proteins to be approximately 97% [L938]. 
Interferon Alfa-2a, Recombinant	* 2.14 - 3.62 mL/min/kg [healthy]	The IM half-life of interferon alfa-2a is 6 hours to 8 hours; the half-life for IV infusion is 3.7 hours to 8.5 hours (mean 5.1 hours).	
Interferon Alfa-2b, Recombinant		The elimination half-life following both intramuscular and subcutaneous injections was approximately 2 to 3 hours. The elimination half-life was approximately 2 hours following intravenous injection.	
Interferon beta-1b	* 9.4 – 28.9 mL/min•kg-1 [patients with diseases other than MS receiving single intravenous doses up to 2.0 mg]		
Intetumumab			
Intoplicine			
Ipilimumab	Clearance was measured to be 15.3mL/hr-16.8 mL/hr.&#13;&#13;In one pharmacokinetic study examining ipilimumab administered every 3 weeks, clearance was found to be time invariant. Minimal systemic accumulation was observed (accumulation index of 1.5 fold or less).   &#13;Steady state concentrations was reached by the third dose. &#13;&#13;Clearance will increase with increasing body weight; however, no dose adjustment is needed if administration occurs on a mg/kg basis. The following had no clinically meaningful influence on clearance: Age (range 26-86 years), gender, creatinine clearance (if ≥29ml/min), baseline AST, total bilirubin, ALT levels, concomitant use of budesonide, performance status, HLA-A2*0201 status, positive anti-ipilimumab antibody status, prior use of systemic anticancer therapy, baseline lactate dehydrogenase levels.	Terminal Elimination Half-life: 14.7 -15.4 days&#13;	
Irinotecan	 * 13.3 L/h/m^2 [Dose of 125 mg/m^2, patients with solid tumours] &#13; * 13.9 L/h/m^2 [Dose of 340 mg/m^2, patients with solid tumours] &#13;	The half life of irinotecan is about 6 - 12 hours. The terminal elimination half-life of the active metabolite, SN-38 is 10 - 20 hours. 	30%-68% protein bound, mainly to albumin. 
Irofulven			
Irosustat			
Isotretinoin	* 96 +/- 6.27 L/hr [severe recalcitrant nodular acne pediatric Patients, 12 to 15 Years]	17-50 hours	99.9%
Ispinesib			
Ixabepilone		52 hours	67-77%
Ixazomib		Terminal half-life is 9.5 days. 	99%
JNJ-38877605			
JNJ-40346527			
KRN-7000			
Kappadione	 The plasma clearance (CL/F) of VK3 was 0.822 ± 0.254 L min-1. [LI572]	Mean elimination half-life of menadione was 27.17 min in the plasma of rabbits, in one study [L1574].	
LCL-161			
LM-609			
LS11			
LY-295501			
LY2181308			
Labetuzumab			
Labetuzumab govitecan			
Labradimil			
Lapatinib		Single-dose terminal half life: 14.2 hours&#13;Effective multiple-dose half life: 24 hours	Highly bound (&gt;99%) to albumin and alpha-1 acid glycoprotein
Laromustine			
Larotaxel			
Leflunomide		2 weeks	>99.3%
Lenalidomide	The renal clearance of lenalidomide exceeds the glomerular filtration rate. 	Healthy subjects = 3 hours;&#13;Multiple myeloma or MDS patients = 3 - 5 hours. 	30% protein bound. 
Lenvatinib		The terminal elimination half­life of lenvatinib is approximately 28 hours.	In vitro binding of lenvatinib to human plasma proteins ranged from 98% to 99%.
Lestaurtinib			
Letrozole		2 days	
Leuprolide	* 8.34 L/h [healthy male receiving a 1-mg IV bolus]	~3 hours	43% to 49%
Lexatumumab			
Liarozole			
Linsitinib			
Lithium			
Litronesib			
Lobaplatin			
Lonafarnib			
Lorvotuzumab mertansine			
Lovastatin		5.3 hours	Lovastatin and its β-hydroxyacid metabolites are highly protein bound (>95%).  
Lucatumumab			
Lurtotecan			
Lycopene			
ME-344			
MK-1775			
MK-8776			
MKC-1			
MLN8054			
Marizomib			
Masitinib			
Matuzumab		196 hours	
Melphalan		1.5 (&plusmn;0.83) hours	Moderate to high (60 to 90%), primarily to albumin and, to a lesser extent, alpha 1-acid glycoprotein. 30% is irreversibly bound.
Methotrexate	Methotrexate clearance rates vary widely and are generally decreased at higher doses. Delayed drug clearance has been identified as one of the major factors responsible for methotrexate toxicity.  	Low doses (less than 30 mg/m^2): 3 to 10 hours; High doses: 8 to 15 hours.	50% bound to protein, primarily to albumin
Methylthioinosine			
